AP,HP,cost,effect,gods_id,id,name_en,rarity_id,set_id,tribe_id,type_id
0,8,2,Frontline. Can't attack. At the end of each turn  set Portable Fortress' strength to 0.,1,1209,The Portable Fortress,1,2,5,1
4,1,3,At the end of each turn  this creature gets +1 health.,7,1210,Jinxblade Duelist,1,2,7,1
2,1,1,Soulless.,4,100150,Reanimated Ghoul,1,2,7,1
0,5,3,Frontline. Regen 5.,2,100160,Overgrown Golem,1,2,5,1
2,3,6,Roar: Transform a creature with strength 2 or less into a 2/2 Acolyte. Gain control of the Acolyte.,5,401,Light\'s Bidding,1,4,5,1
0,0,4,Both players unlock one mana lock for each  3 points of health their god is missing.,4,807,Ataraxia,3,6,5,3
3,4,3,At the end of your turn  if your god has 15 health or less  summon a 1/1 Impling.,4,810,Cruel Overseer,2,6,9,1
8,8,9,Frontline. Twin strike. Overkill.  Roar: Deal damage equal to  this creature's strength to each enemy creature. Afterlife: Give +3/+3 to each friendly Viking in your hand  deck  and board.,3,827,Valka Champion of War,4,6,12,1
1,2,2,Roar: Delve an anim  and put it into your hand.,2,40,Ruins Explorer,2,1,12,1
1,5,2,"Roar: Replace your hand with copies of ""Voyage to the Farlands.""",1,52,Farsight Explorer,3,1,12,1
2,2,2,Whenever a friendly creature dies  this creature gets +1 strength.,1,77,Enraged Ally,2,1,12,1
3,6,5,Frontline.,1,78,Annoying Combatant,1,1,12,1
3,3,3,Roar: Destroy a friendly creature and this creature gains its strength and health.,4,79,Hunger Daemon,2,1,9,1
0,0,1,Give a friendly creature twin strike and +1 strength. At the end of this turn  it goes to sleep.,7,80,Overclock,1,1,9,3
2,4,1,Burn 1.,1,81,Inflammable Imbecile,1,1,8,1
0,0,6,Soulless. Give each friendly creature +2 health. Your god power becomes Shine.,5,82,Light Ascended,4,1,8,3
0,0,2,Foresee 2. Draw a card.,6,86,Read The Leaves,3,1,8,3
2,2,2,Afterlife: Summon a 2/2 Reanimated Ghoul.,4,100151,Reanimated Corpse,1,2,8,1
1,5,1,,1,100153,Tough Malfunctioning Artifice,1,2,8,1
5,1,1,,1,100156,Strong Malfunctioning Artifice,1,2,8,1
2,2,5,Roar: Draw two cards.,6,112,Rift Scholar,1,1,8,1
4,5,5,Twin strike. At the start of your turn  this creature destroys a random other friendly Atlantean to get +3/+3.,1,116,Devouring Golem,2,1,5,1
4,5,6,Roar: Give a random other creature with the lowest attack +4/+4.,1,120,Astraea\'s Envoy,4,1,5,1
2,1,2,Blitz. Roar: Give a friendly damaged creature twin strike and +1 strength.,3,15,Respected Jarl,3,1,12,1
1,1,2,Confused. Whenever a friendly creature dies  this creature gets +1/+1.,2,108,Carcass Vulture,1,1,13,1
3,3,5,Frontline. Roar: Delve a creature with frontline  and put it into your hand.,1,109,Aegis Commander,2,1,10,1
0,0,1,Remove frontline and backline from target creature. Draw a card.,6,18,Levitate,1,1,10,3
5,5,5,After an Aether attacks  draw a card.,1,98,The Sky Reaver,4,1,2,1
0,0,1,Each player moves the top two cards in their deck to their void  and draws a card.,4,127,Corrupt Ceremony,2,1,2,3
6,6,6,This creature gets +1 strength for each point of damage your god takes. Afterlife: Deal 6 damage to a random enemy creature.,4,129,Avatar of Death,4,1,2,1
0,6,7,At the end of your turn  summon a copy of another random friendly creature.,2,135,Fertility Idol,1,1,3,1
0,0,2,Deal 1 damage to each creature.,3,100004,Ruin,3,1,3,5
0,0,2,Give burn +12 to a creature.,4,100005,Blight,3,1,3,5
0,0,2,Add a copy of a random card from your opponent's god to your hand. Summon a 1/1 Rogue Skulker.,7,100006,Larceny,3,1,3,5
0,0,2,Summon two Will O' Wisps.,5,100007,Shine,3,1,3,5
4,8,6,Frontline.,1,1090,Minotaur Phalanx,1,2,13,1
15,15,9,At the start of the game  add 10 Blue Whales to both players' decks.,1,65003,Tethys,5,5,13,1
0,0,2,Destroy a friendly creature to summon a 3/2 Experimental Outcome.,4,802,Forbidden Experiment,1,6,13,3
0,0,1,Add two mana locks. Heal your god for 12.,4,803,Return to the Cave,3,6,13,3
1,2,2,Afterlife: Add a random Nature card to your hand.,2,839,Dryad Seer,1,6,3,1
2,3,3,Confused. At the start of your turn  deal 2 damage to a random enemy creature.,2,841,Ornery Goat,1,6,13,1
0,3,3,Cannot attack. Burn 1. Afterlife: Summon two 2/2 Anubians.,1,111,Soul Jar,2,1,4,1
5,2,6,Godblitz. Whenever you attack  give +2 strength to a random friendly creature.,3,118,Penitent Spear,1,1,4,4
3,5,4,Frontline. Regen 1.,2,121,Agrodor Protector,1,1,3,1
1,2,3,Hidden for 1 turn. Afterlife: Add a random anim  enchanted weapon  or rune to your hand. If you control another Anubian  add two instead.,1,122,Tomb Robber,1,1,4,1
2,2,4,Roar: Add a copy of a friendly creature to your hand.,1,123,Friendly Mimic,2,1,4,1
3,1,1,Roar: Destroy a friendly creature. This creature gains health equal to that creature's strength.,4,124,Fusing Fleshspawn,3,1,9,1
2,2,1,Afterlife: Heal your god for 4.,5,128,Cudgel of Atonement,2,1,9,4
1,1,1,Hidden for 1 turn. Backline. Whenever a spell is cast  give a copy of it to the other player.,1,131,Lara Grim Spellthief,4,1,8,1
0,0,6,Deal 3 damage to four random creatures. Add a random Nature card to your hand.,2,837,Enchanted Vines,1,6,8,3
3,7,6,Confused. Regen 4. Frontline.,2,840,Dionysian Bull,1,6,13,1
0,0,2,Heal your god for 10. If you have eight cards in your void  add a random Nature card into your hand.,2,134,Compost Charm,3,1,13,3
1,2,1,Roar: Foresee 2.,6,101,Heka\'s Enchantress,1,1,4,1
0,0,1,Shuffle three copies of a creature into your opponent's deck.,7,102,Me Two Three,1,1,4,3
1,2,2,Protected. Roar: Give the Chosen One protected and move it one card closer to the top of your deck.,5,105,Pilgrim of the Cause,2,1,12,1
3,3,2,Confused. At the end of the turn Underbrush Boar is summoned  attack a random enemy creature.,2,106,Underbrush Boar,2,1,13,1
0,0,2,Summon a copy of a random creature from your opponent's void.,6,107,Erratic Summons,2,1,13,3
1,5,4,At the end of each turn  summon a 1/1 Skeleton with soulless for every friendly creature put into your void that turn.,1,114,Tutankhamun,4,1,4,1
0,0,1,Deal 2 damage to your god. During your opponent's next turn  creatures that attack your god are given burn +2. Draw a card.,4,125,Enflame Self,2,1,4,3
0,0,2,Foresee 2. Draw a card.,6,100008,Seer,3,1,4,5
0,4,3,At the start of your turn  remove 1 durability from this relic  destroy the enemy creature with the lowest health  and deal that much damage to your god.,4,1034,Dreaming Sceptre,2,2,4,4
2,4,5,Blitz. After your god attacks  summon a Black Jaguar.,2,838,Jaguar Staff,1,6,4,4
7,2,3,Blitz. Roar: Summon a 3/3 Iron Anim for your opponent.,1,97,Glass Cannon,4,1,5,1
3,3,3,Roar: Delve a legendary creature 3 times  and add them to your deck.,1,155,Jason Medea\'s Muse,4,1,10,1
0,0,2,Deal 4 damage to each god. Draw a card.,4,160,Dangerous Ritual,1,1,10,3
6,7,7,At the end of your turn  another friendly creature with the highest health becomes protected.,5,169,Horus The Protector,4,1,4,1
7,7,7,At the end of your turn  deal 1 damage to each other creature.,1,170,Blind Cyclops,1,1,13,1
4,4,6,Roar: Deal 1 damage to each other creature. Add an enchanted weapon to your hand.,3,173,Blade Trial Valkyrie,2,1,12,1
3,3,3,Roar: If your god  has 15 health or less   draw two cards.,4,801,Diones Spectral Sceptic,4,6,12,1
1,4,3,After your god is attacked  deal 2 damage to the attacker and remove 1 durability from this relic.,2,174,Vine Armour,1,1,12,4
0,0,4,"Give a friendly creature ward and ""At the end of your turn  add a copy of a random card from your opponent's hand.""",6,175,Endow Wings,1,1,12,3
4,5,6,After an enemy creature is summoned  deal 1 damage to it.,6,177,Exoscout,2,1,5,1
0,0,1,Deal 5 damage to your god and refresh 5 mana.,4,804,Necronomics,3,6,5,3
0,0,1,Pick one — · Deal 2 damage  or · A friendly character becomes protected.,6,178,Ancient Texts,2,1,5,3
0,2,1,Cannot attack. Burn 2. Afterlife: If this creature is destroyed by burn damage  summon a First Phoenix.,1,100037,Phoenix Egg,3,4,5,1
6,5,5,,1,100040,Rockdrake,1,1,6,1
3,1,1,Roar: Draw a card. Afterlife: Shuffle this creature into your deck.,1,100048,Aching Disciple,1,1,6,1
5,9,8,Whenever another friendly creature dies  summon a random creature with the same mana cost from your void.,4,99,Hades Underworld Lord,4,1,10,1
3,5,4,When a friendly creature dies  give burn +1 to a random enemy creature.,1,140,Death Masque,3,1,10,1
5,5,7,Roar: Add 1 rune to your hand for every 3 Nethers in your deck.,1,148,Cambion Runelord,1,1,9,1
6,9,9,Flank. Frontline. Twin strike. Ward. At the end of each turn  this creature gets ward. Roar: This creature gets +2/+1 for each card in your hand.,1,149,Tyet Heir To The Sky,4,1,4,1
0,0,7,Destroy all creatures. Destroy all creatures again.,4,161,Apocalypse Now,3,1,4,3
6,5,6,Blitz. Roar: Other friendly creatures gain leech until end of turn.,3,162,Tormentor Fiend,3,1,9,1
1,1,2,Ward. Roar: Summon a Will O' Wisp.,5,171,Will O\' Wisp,1,1,8,1
5,6,6,Whenever you use your god power  add a random rune to your hand.,1,172,Wild Spellsinger,2,1,7,1
0,0,1,All enemy characters become confused. At the start of your next turn  become no longer confused.,2,176,Dense Fog,2,1,7,3
4,1,2,Hidden. Flank.,7,179,Trapdoor Assassin,1,1,7,1
1,2,3,Roar: Delve a Nature card  and put it into your hand.,2,270,Jungle Scout,1,1,3,1
0,0,2,Deal 1 damage to the two highest-health enemy creatures.,6,100104,Blastwave,1,2,3,5
2,4,3,"Ability: Give a friendly creature without an afterlife ""Afterlife: Summon a 3/2 Experimental Outcome.""",4,805,Soul Charlatan,1,6,4,1
0,0,1,"Summon two 0/2 Mirrors with ""Frontline. Can't attack. Creatures that attack a Mirror become confused.""",7,93,Hall of Mirrors,3,1,4,3
3,7,6,At the start of your turn  a random creature in your hand with the lowest mana cost goes to the void. Summon a random highest mana cost creature from your void.,4,145,Dread Queen Persephone,4,1,10,1
3,7,8,Backline. At the end of your turn  summon a random creature from your void.,1,151,The Gatekeeper,4,1,9,1
3,2,2,Afterlife: Unlock a mana lock for both players.,4,153,Fanatic of Khnum,2,1,4,1
0,0,1,Target a creature. Obliterate cards in your deck with the same cost as that creature  and draw a card.,6,168,Lost In The Depths,3,1,4,3
5,2,0,Godblitz. After you attack  heal your god for 5.,3,100036,Sentient Flameblades,1,1,4,4
0,0,2,Delve a spell from your void  and put it into your hand. Give it soulless and it costs +2 mana.,6,100105,Discovery,1,2,4,5
0,6,2,Burn 2. Cannot attack. Afterlife: If you have 6 cards or more in hand  summon a 6/5 Rockdrake.,1,188,Rockdrake Egg,2,1,6,1
5,2,5,Blitz.,3,189,Iron Kopis,2,1,6,4
0,0,3,Add two mana locks to both players mana gems.,2,190,Ares\' Eruption,2,1,6,3
0,0,2,Copy the lowest-cost creature in your hand.,6,200,Clone,3,1,6,3
1,3,1,Whenever you cast a spell that costs 3 or less  give this creature +1 strength until the start of your next turn.,6,813,Academy Familiar,1,6,2,1
0,1,3,After you cast a spell that costs 3 or less  summon a 1/1 Rat.,6,814,Rod of Rodents,1,6,2,4
2,3,2,Roar: If you are holding an Aether  deal 3 damage to your opponent's god.,6,815,Aether Herald,1,6,2,1
2,4,6,Roar: If you are holding an Aether  remove two mana locks.,6,822,Mana Auditor,2,6,2,1
0,0,7,Deal 1 damage to a character for each spell that costs 3 or less in your void  up to a maximum of 10 damage.,6,823,Arcane Burst,2,6,2,3
0,2,6,After you play a Death card  add 1 durability to this relic. Ability: Destroy target creature. If it is friendly  add 1 durability to this relic. Otherwise  remove 2 durability.,4,834,Neferu\'s Khopesh,4,6,2,4
1,3,3,Roar: If you control two or more other creatures  give this creature +3/+2.,2,843,Steadfast Scout,2,6,3,1
0,0,1,Target an opponent. Delve a card belonging to that god's domain. (The domains are Death  Deception  Light  Magic  Nature  and War.),7,848,Stolen Plans,1,6,3,3
2,1,3,Roar: Destroy all cards in your deck with cost 2 or less.,2,146,Mistress Scythia,4,1,3,1
16,16,9,Roar: Destroy all other creatures and obliterate your hand.,1,147,Arius Augur Paroxysm,4,1,2,1
0,0,2,Deal 4 damage to an enemy creature.,6,1012,Starshard Bolt,1,2,2,3
0,0,2,Give a friendly creature +1/-1 permanently  and give it leech until the end of the turn.,4,100108,Blood Ritual,1,2,2,5
0,0,3,Give a friendly creature soulless then destroy it. Summon a creature from your void with mana cost of X +1 or less  and give it soulless. X is the cost of the destroyed creature.,4,100109,Reanimate,1,2,2,5
0,0,2,Remove six random cards from your void  if your void is empty  add a random nature card to your hand.,2,100110,Forage,1,2,2,5
0,0,3,Soulless. Pull two random spells  that each cost 3 or less  from your void into your hand.,6,816,Recovered Knowledge,3,6,2,3
6,3,5,Backline. Flank. Hidden.,7,852,Hooded Figure,1,6,2,1
3,3,7,Roar: Summon two Furies. If there are six or more Olympians in your void  your Furies gain +1 strength and blitz.,3,157,Furies,3,1,10,1
2,2,3,Ward. At the end of your turn  deal 1 damage to a random enemy.,1,158,Wizened Warlock,3,1,3,1
6,7,7,Frontline. Afterlife: If you're holding an Aether  deal 2 damage to each enemy creature.,1,159,Bulwark of the Sky,3,1,2,1
0,0,3,Deal 2 damage to a character for each friendly creature on the board.,6,817,Form of Unity,3,6,2,3
2,1,5,Roar: Add a Form of Wisdom  a Form of Power  and a Form of Unity to your hand.,6,818,Majes Spectral Philosopher,4,6,2,1
3,3,5,Ward. After you cast a spell that costs 3 or less  refresh 1 mana.,6,819,Archimea Arithmancer,4,6,2,1
0,0,1,Deal 2 damage to an enemy creature and 1 damage to your opponent's god.,6,820,Form of Power,2,6,2,3
2,3,2,Roar: Set the mana cost of all anims  enchanted weapons  and runes in your hand to 1.,1,186,Balance Summoner,3,1,8,1
0,0,2,Draw a card. If it's a spell that costs 3 or less  reduce its cost to 0.,6,812,Form of Wisdom,1,6,8,3
4,5,5,Roar: If you are holding an Aether  add a random 1-mana Magic spell to your hand.,6,821,Archvisionist,2,6,2,1
4,9,7,Whenever this creature takes damage  double its strength.,3,19,Mountain Greatwyrm,2,1,6,1
3,4,4,Roar: Add a copy of the last creature played to your hand.,6,23,Portal Wrangler,1,1,8,1
5,5,8,At the end of each turn  summon a Foolhardy Beserker. Roar: Pick one — · Give +5/+3 to a friendly creature  or · Give +3/+10 to a random creature in your hand.,3,25,Odin Endless War,4,1,12,1
3,1,1,Roar: Give a friendly Viking +1 health.,1,26,Valkyrie Heartsworn,1,1,12,1
2,3,4,Spell boost +1. Roar: Remove 8 durability from your opponent’s relic. If this destroys a relic  your opponent draws a card.,6,941,Spellbound Gremlin,1,6,12,1
4,5,4,Afterlife: If you are holding an Aether  gain 9 favor.,6,939,Planetar Sage,1,6,2,1
3,3,4,Roar: If you control a Wild creature  refresh 3 mana.,2,942,Beast Speaker,1,6,8,1
0,0,3,Summon three confused 1/1 Amazon Recruits.,2,944,Sudden Rally,1,6,8,3
2,1,3,Roar: For every three Nethers in your deck  this creature gets +1 health and deals 1 damage to both gods.,1,4,Influential Incubus,3,1,9,1
0,0,3,Add Mana Bind to your opponent's hand.,7,6,Ancient Curse,1,1,9,3
1,5,1,At the start of your turn  this creature attacks a random valid target.,1,7,Broken Harvester,2,1,5,1
1,3,3,Whenever you obliterate a card in your hand  draw a card and your god takes 2 damage.,4,8,Eternal Servant,1,1,5,1
0,0,1,Give a friendly creature +2 health and fully heal it.,5,14,Healing Insight,1,1,5,3
0,0,3,Draw nine cards. At the end of your turn  obliterate your hand.,4,16,Faustian Pact,3,1,5,3
1,1,1,At the end of your turn while this creature is in your hand  transform it into a creature in your opponent's hand. It keeps this ability after the change.,7,17,Mimicus,4,1,5,1
3,4,3,Afterlife: Shuffle this creature into your deck. It keeps all buffs.,5,21,Osiris the Eternal,4,1,4,1
5,6,6,Backline. Whenever a friendly Anubian dies  draw a card.,1,22,Anubis Guide of Souls,4,1,4,1
2,2,1,Flank. Roar: Give a friendly creature flank.,1,24,Midnight Cat,1,1,13,1
6,5,7,Roar: Deal 4 damage to an enemy creature  and 4 more damage  split randomly among other enemy characters.,1,27,Ashen Drake,3,1,6,1
1,2,2,Whenever a creature is healed  draw a card.,5,182,High Thaumaturge,2,1,8,1
3,3,4,Frontline. Protected. Ward.,5,193,Highborn Knight,3,1,8,1
2,1,3,Blitz. Flank. Protected.,3,258,Hyksosian Chariot,1,1,4,1
0,0,4,Destroy all creatures with mana cost 3 or less.,4,1013,Dust to Dust,3,2,4,3
0,0,2,Give two different random friendly creatures +1 strength until the end of the turn.,2,100111,Flourish,1,2,4,5
0,0,3,Deal 2 damage to a random enemy creature. Heal your god for 1.,2,100112,Leech Life,1,2,4,5
0,0,2,Give a creature +2/+1 and burn +1. If it is an enemy creature  give it an additional burn +2.,3,100113,Enrage,1,2,4,5
0,0,1,Give a friendly creature blitz.,3,100114,Onslaught,1,2,4,5
0,0,1,Heal a friendly character for 2.,5,100117,Heal,1,2,4,5
0,0,2,Look at the top 2 cards of your deck. Give the Chosen One +2/+2  and move it three cards closer to the top of your deck.,5,100118,Chosen Visions,1,2,4,5
3,7,6,Frontline. Ward.  At the start of your turn   completely heal this creature. After a friendly creature is healed  they gain +1 strength.,5,824,Lysander Champion of Light,4,6,10,1
1,4,3,Ward. Ability: Pick one — • Delve a spell. • Deal damage to an enemy god equal to the cost of a random card in their void  then obliterate that card.,6,825,Pallas Champion of Magic,4,6,8,1
2,2,2,At the end of your turn  a random enemy creature goes to sleep.,7,853,Satyr Hypnotist,1,6,8,1
0,0,3,"Gain 5 favor. If you have a relic equipped  it gains: ""At the end of your turn  gain 5 favor.""",5,938,Blessing of Light,1,6,8,3
0,0,3,Gain favor equal to three times the amount of mana you have unlocked.,6,940,Blessing of Magic,1,6,8,3
0,0,1,Give regen +2 to target friendly creature. Gain 4 favor.,2,943,Blessing of Nature,1,6,8,3
2,2,1,Roar: Obliterate a card in your hand. Afterlife: All enemy creatures go to sleep.,4,2,Siren of the Grave,2,1,8,1
0,0,3,Summon a 2/2 Acolyte.,5,100115,Summon Acolyte,1,2,8,5
0,0,1,Target a creature. If you target a friendly creature  increase its health by 1. If you target an enemy creature  reduce its strength by 1  but not to below 1.,5,100116,Heaven\'s Light,1,2,8,5
2,2,3,Roar: Delve a Nature creature  and put it into your hand.,2,269,Mottled Ranger,1,1,8,1
0,0,0,Your god power becomes a copy of your opponent's. Foresee the top card of your opponent's deck.,7,100125,Thievery,1,2,8,5
1,1,3,Roar: Give +1/+1 to each creature in your hand.,3,299,Blacksmith Armourer,1,1,7,1
0,0,3,Deal 2 damage to an enemy creature.,6,100127,Magebolt,1,2,7,5
0,1,2,After you play a Magic card  add 1 durability to this relic. Ability: Draw a card  then remove 3 durability from this relic.,6,831,Pallas\' Wand,4,6,7,4
2,1,1,Roar: Confuse a random enemy creature.,7,28,Apate Conspirator,2,1,7,1
4,4,4,Roar: Equip a random enchanted weapon if you have 3 Olympians in your void.,3,29,Hephaestus The Enchanter,4,1,10,1
5,7,7,Frontline. Roar: Set an enemy creature's health to 2.,5,30,Radiant Guardian,1,1,2,1
0,0,7,Add four random Nature cards to your hand. Refresh six mana.,2,31,Photogenesis,3,1,2,3
5,5,5,Whenever you target this creature with a spell  it gains +1/+1.,5,32,Spellwrought Angel,1,1,2,1
2,2,1,Roar: If you control another Atlantean  this gets +1 strength.,1,33,Sentinel Princess,1,1,5,1
3,2,2,After this creature deals damage  give a random other friendly Viking +2 strength.,1,34,Foolhardy Berserker,1,1,12,1
0,3,2,At the start of each turn  this creature gets +1 strength.,1,35,Rolling Watcher,1,1,5,1
0,0,2,Target friendly creature gains an extra attack this turn and attacks a random enemy creature. Add a random Nature card to your hand.,2,36,Natural Selection,2,1,5,3
0,0,1,Destroy target friendly creature. Draw two cards.,4,46,Untold Greed,2,1,5,3
5,1,3,Roar: Give a friendly Amazon protected.,1,241,Servant of Inti,2,1,3,1
3,4,2,Protected. Cannot attack.,1,272,Venerable Gryphon,2,1,13,1
3,2,4,Godblitz. At the end of each turn  deal 1 damage to your god. Afterlife: Deal 1 damage to each creature.,3,297,Dead Man\'s Flail,1,1,13,4
4,1,5,Blitz. Roar: Deal 2 damage to a random enemy creature.,3,298,Runaway Trebuchet,1,1,11,1
0,0,3,Deal 2 damage to a random enemy creature. If it survives  pull it from the board into your opponent's hand.,7,300,Guerilla Sabotage,1,1,11,3
0,0,4,Summon a 3/2 confused creature and a 2/3 confused creature.,2,301,Druidic Summons,1,1,11,3
0,0,2,Give a damaged friendly creature +4/+2.,3,306,Blood Rage,1,1,11,3
0,0,1,Deal 1 damage to a friendly creature. If it dies  randomly pull a creature from your deck into your hand and give it +3/+3.,3,307,Out of Its Misery,1,1,11,3
0,0,2,Select a friendly creature. It attacks all enemy creatures on board  in random order.,3,308,Take Them All On,2,1,11,3
0,0,1,Deal 1 damage to each damaged creature. At the end of the turn  draw a card.,3,309,Demoralise,3,1,11,3
0,0,3,Add a random card from your opponent's god to your hand.,7,100119,Flip,1,2,11,5
