AP,HP,card_type_id,color_id,cost,effect,effect_en,id,image_url,image_url_en,name_en,name_ja,rarelity_id,tribe_id
1,3,1,2,3,死亡時：ランダムな相手ユニット１体に２ダメージ,Deathrattle：Deal ２ damage to a random enemy minion.,1635,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/625/1635.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/625/1635.png,Radius,ラディウス,2,5
1,3,1,2,2,ターン開始時：ランダムな味方ユニット１体を＋１/＋０する,Turn start：Give a random friendly minion ＋１/＋０.,1630,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/623/1630.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/623/1630.png,Tanyan,ターニャン,3,5
2,2,1,5,4,召喚時 ターン開始時：ダメージを受けているランダムな味方ユニット１体を＋２/＋３する,Summon Turn Start：Give a damaged random friendly minion ＋２/＋３.,1680,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/620/1680.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/620/1680.png,Moya Orphica Dancer in the Silver Mist,蒼銀の踊り子 モヤ＝オルフィカ,3,1
2,2,1,5,4,召喚時 ターン開始時：ダメージを受けているランダムな味方ユニット１体を＋２/＋３する,Summon Turn Start：Give a damaged random friendly minion ＋２/＋３.,1675,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/618/1675.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/618/1675.png,Moya Orphica Dancer in the White Mist,白霧の踊り子 モヤ＝オルフィカ,2,1
,,2,2,4,相手ユニット１体に相手の最大マナに等しいダメージ,Deal damage equal to the number of opponent player\'s empty mana to an enemy minion.,1160,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/610/1160.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/610/1160.png,Crime and Punishment,罪と罰,2,9
2,1,1,5,1," "" みんな強いっ！ "" "," ""You are strong！"" ",1595,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/609/1595.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/609/1595.png,Ri-chan,りーちゃん,2,7
1,1,1,5,1,鉄壁１,Shield１,1730,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/607/1730.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/607/1730.png,Holy Hammerer,聖なる鉄槌の騎士,2,2
3,4,1,6,5,飛行 死亡時：全ての味方悪魔を＋２/＋２する,Jump over Deathrattle：Give all friendly demons ＋２/＋２.,1760,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/602/1760.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/602/1760.png,Byakhee,バイアクヘー,3,4
5,5,1,2,11,召喚時：相手リーダーに自分の残りデッキの枚数分ダメージ,Summon：Deal damage equal to the number of remaining your deck to the enemy hero.,1755,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/600/1755.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/600/1755.png,Bahamut the Dragon King,竜王 バハムート,3,6
2,1,1,5,2,召喚時 死亡時：ランダムな味方天使１体を＋１/＋２する,Summon Deathrattle：Give a random friendly angel ＋１/＋２.,1650,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/598/1650.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/598/1650.png,Marigold,マリーゴールド,3,5
2,3,1,4,3,召喚時：味方ユニット１体を手札に戻す カードを１枚引く,Summon：Return a friendly minion to your hand. Draw a card.,1645,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/596/1645.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/596/1645.png,Chain of Hearts,チェインオブハーツ,3,5
2,2,1,3,3,召喚時 ターン開始時：カードを１枚引く,Summon Turn start：Draw a card.,1640,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/594/1640.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/594/1640.png,Spica,スピカ,3,5
2,5,1,4,5,速攻 召喚時：相手ユニット１体とこのユニットに２ダメージ,Rapid Summon：Deal ２ damage to an enemy minion and this minion.,1720,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/590/1720.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/590/1720.png,Primal Hunter,プライマル・ハンター,2,3
3,3,1,2,3," "" どう見ても悪魔に取り憑かれている "" "," "" Obviously possessed by the demon. "" ",1665,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/573/1665.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/573/1665.png,Mujol,むじょる,2,4
2,6,1,4,6,飛行 ターン終了時：味方が全てビーストの時 ランダムな相手ユニット１体に６ダメージ,Jump over Turn end：When all allies are beasts deal ６ damage to a random enemy minion.,1690,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/571/1690.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/571/1690.png,Fenrir,フェンリル,3,3
2,4,1,2,5,連撃 召喚時：ドラゴンを除くランダムなユニット２体に４ダメージ,Attack twice Summon：Deal ４ damage to ２ random minions except dragons.,1685,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/569/1685.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/569/1685.png,Two-Headed Dragon,双頭のドラゴン,3,6
1,2,1,5,2,ターン終了時：最大マナを１増やす,Turn end：Gain an empty mana crystal.,1660,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/567/1660.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/567/1660.png,【Unusable】Yuki the Cat Magic Knight,【廃盤】猫耳魔法騎士 ユキ,3,3
0,0,1,6,8,召喚時：＊は相手の最大マナに等しい,Summon：＊ is equal to the number of opponent player\'s empty mana.,1695,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/563/1695.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/563/1695.png,Nightmare,ナイトメア,2,4
1,1,1,1,1,召喚時：味方１体に１ダメージ,Summon:Deal １ damage to an enemy.,1670,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/560/1670.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/560/1670.png,Blue-Haired Fencer,青髪のフェンサー,3,2
1,1,1,2,1,召喚時：他の味方ソルジャーがいる時 カードを１枚引く,Summon:When there is another friendly soldier draw a card.,1625,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/558/1625.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/558/1625.png,Maria Ai,マリア・アイ,2,5
1,1,1,4,1,召喚時：味方フェアリー１体を＋１/＋１する,Summon:Give a friendly fairy ＋１/＋１.,1620,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/556/1620.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/556/1620.png,lily Verde,リリィ・ヴェルデ,2,5
1,2,1,5,2,召喚時：味方ユニット１体を＋０/＋２する,Summon:Give a friendly minion +0/+2.,1615,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/554/1615.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/554/1615.png,Aria Citrus,アリア・シトラス,3,5
2,2,1,6,2,召喚時：味方ユニット１体を破壊して全ての相手ユニットをー１/ー１する,Summon：Destroy a friendly minion to give all enemy minions ー１/ー１.,1610,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/552/1610.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/552/1610.png,Eli Superior,エリー・スペリオル,3,5
1,2,1,3,2,召喚時：他の味方魔法使いがいる時 青のマジックボトルを３枚手札に加える,Summon：When there is another friendly witch add ３ Blue Magic Bottles to your hand.,1605,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/550/1605.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/550/1605.png,Aqua Chronus,アクア・クロノス,3,5
2,3,1,2,3,飛行 召喚時：味方ユニット１体を＋１/＋０する 対象がソルジャーなら代わりに＋３/＋０する,Jump over Summon:Give a friendly minion +1/+0 if the target is a soldier +3/+0 instead.,1600,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/548/1600.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/548/1600.png,Passion Wing,パッション・ウイング,3,5
1,2,1,5,2,ターン終了時：最大マナを１増やす,Turn end：Gain an empty mana crystal.,1575,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/547/1575.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/547/1575.png,【Unusable】Yuki the Cat Magic Knight,【廃盤】猫耳魔法騎士 ユキ,3,3
1,2,1,5,1," "" ありがとうございます！ "" "," ""Thank you"" ",1590,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/546/1590.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/546/1590.png,Ri-chan,りーちゃん,2,7
8,6,1,5,8,召喚時：体力8以下の相手ユニット１体を破壊する 最大マナを２減らす,Summon：Destroy an enemy minion with a Health of ８ or less.Lose ２ empty manas.,1585,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/543/1585.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/543/1585.png,Thor the White Lightning,白き稲妻 トール,3,1
2,2,1,4,8,召喚時：全ての味方ビーストを＋２/＋３する,Summon：Give all friendly beasts ＋２/＋３.,1580,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/541/1580.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/541/1580.png,Pricia True Beastmaster,真獣王 プリシア,3,3
0,1,1,5,1,召喚時：攻撃力１以下の相手ユニット１体を破壊する,Summon: Destroy an enemy minion with an Attack of １ or less.,1545,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/538/1545.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/538/1545.png,Lilia Chocolate,リリア・ショコラート,2,5
